Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,family_details,id,bigint,Primary key identifier for the family details,1,No,Source: ps_families.family_details.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,family_details,family_id,bigint,Reference to the family,1,No,Source: ps_families.family_details.family_id,"NOT NULL, Positive integer, FK validation to ps_families.family",No
stoplight_analytics,family_details,device_info,jsonb,Information about the device used to collect the data,"{""os"": ""Android"", ""model"": ""Samsung S10"", ""version"": ""10.0""}",No,Source: ps_families.family_details.device_info,"Valid JSON structure",No
stoplight_analytics,family_details,person_id,bigint,Reference to the family member (person),1,No,Source: ps_families.family_details.person_id,"Positive integer, FK validation to ps_families.family_members",No
stoplight_analytics,family_details,properties,jsonb,Additional properties stored as JSON,"{""zone"": ""North"", ""district"": ""Central"", ""neighborhood"": ""Downtown""}",No,Source: ps_families.family_details.properties,"Valid JSON structure",Yes
stoplight_analytics,family_details,notes,character varying,General notes about the family,The family has been participating in the program since 2022,No,Source: ps_families.family_details.notes,"Length check (max 1000)",Yes
stoplight_analytics,family_details,created_by,character varying,User who created the record,admin,No,Source: ps_families.family_details.created_by,"Length check (max 255)",Yes
stoplight_analytics,family_details,last_modified_by,character varying,User who last modified the record,admin,No,Source: ps_families.family_details.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,family_details,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: ps_families.family_details.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,family_details,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: ps_families.family_details.last_modified_date,"Valid timestamp, Not in future, >= created_date",No
stoplight_analytics,family_details,dashboard_properties,jsonb,Properties used for dashboard visualization,"{""priority_area"": ""Income"", ""display_color"": ""#FF5733""}",No,Source: ps_families.family_details.dashboard_properties,"Valid JSON structure",No
stoplight_analytics,family_details,address_details,jsonb,Detailed address information,"{""street"": ""123 Main St"", ""city"": ""Asuncion"", ""district"": ""Central"", ""references"": ""Near the central park""}",No,Source: ps_families.family_details.address_details,"Valid JSON structure, Required fields check",Yes
stoplight_analytics,family_details,anonymous,boolean,Indicates if the details are anonymized,False,No,Source: ps_families.family_details.anonymous,"Boolean value check, Default: false",No 
