Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,snapshot,id,bigint,Primary key identifier for the snapshot,1,No,Source: data_collect.snapshot.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,snapshot,family_identifier,character varying,Identifier for the family (may be name or code),FP12345,No,"Source: Added in view, not in source table","Length check (max 300), No special characters",Yes
stoplight_analytics,snapshot,organization_id,bigint,Reference to the organization,1,No,Source: data_collect.snapshot.organization_id,"NOT NULL, Positive integer, FK validation",No
stoplight_analytics,snapshot,application_id,bigint,Reference to the hub that is implementing the Stoplight project,1,No,Source: data_collect.snapshot.application_id,"NOT NULL, Positive integer, FK validation",No
stoplight_analytics,snapshot,created_at,bigint,Timestamp of when snapshot record was created,1739290218,No,Source: data_collect.snapshot.created_at,"NOT NULL, Valid Unix timestamp, Less than or equal to current time",No
stoplight_analytics,snapshot,created_by,character varying,User who created the snapshot record,surveyuser,No,Source: data_collect.snapshot.created_by,"NOT NULL, Length check (max 100)",Yes
stoplight_analytics,snapshot,survey_definition_id,bigint,Reference to the survey definition,1,No,Source: data_collect.snapshot.survey_definition_id,"NOT NULL, Positive integer, FK validation",No
stoplight_analytics,snapshot,snapshot_date,bigint,Date when the survey was taken,1739288403,No,Source: data_collect.snapshot.snapshot_date,"Valid Unix timestamp, Less than or equal to current time",No
stoplight_analytics,snapshot,family_id,bigint,Reference to the family table,1,No,Source: data_collect.snapshot.family_id,"Positive integer, FK validation to ps_families.family",No
stoplight_analytics,snapshot,snapshot_indicator_id,bigint,Reference to the Indicator associated with the snapshot,null,No,"Source: data_collect.snapshot.snapshot_indicator_id, DEPRECATED",Null check if not used,No
stoplight_analytics,snapshot,terms_conditions_id,bigint,Reference to the terms and conditions,1,No,Source: data_collect.snapshot.terms_conditions_id,"Positive integer, FK validation to security.termcondpol",No
stoplight_analytics,snapshot,privacy_policy_id,bigint,Reference to the privacy policy,1,No,Source: data_collect.snapshot.privacy_policy_id,"Positive integer, FK validation to security.termcondpol",No
stoplight_analytics,snapshot,survey_user_id,bigint,Reference to the user who took the survey,1,No,Source: data_collect.snapshot.survey_user_id,"Positive integer, FK validation to security.users",No
stoplight_analytics,snapshot,draft_id,character varying,Unique identifier for the draft created in the frontend,760e3f60-e88e-11ef-81da-552e947d1357,No,Source: data_collect.snapshot.draft_id,"UUID format check, Length check (max 200), Unique constraint",No
stoplight_analytics,snapshot,stoplight_skipped,boolean,Indicates if the survey was taken without a stoplight section,False,No,Source: data_collect.snapshot.stoplight_skipped,Boolean value check,No
stoplight_analytics,snapshot,sign,character varying,Signature data stored as Base64 string,null,No,Source: data_collect.snapshot.sign,"Base64 format check, Length check (max 200)",Yes
stoplight_analytics,snapshot,is_last,boolean,Indicates if this is the last snapshot or survey taken by the family,True,No,Source: data_collect.snapshot.is_last,Boolean value check,No
stoplight_analytics,snapshot,economic,jsonb,Stores the JSON representation of the demographic section of the survey,"{""chid16"": ""1039942"", ""monto18"": ""3000""}",No,Source: data_collect.snapshot.economic,"Valid JSON structure, Required keys check",Yes
stoplight_analytics,snapshot,stoplight,jsonb,Stores the JSON representation of the stoplight section of the survey,"{""phone"": ""2"", ""assets"": ""1""}",No,Source: data_collect.snapshot.stoplight,"Valid JSON structure, Values in range 1-3",No
