Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,snapshot_economic,id,bigint,Primary key identifier for the economic snapshot,1,No,Source: data_collect.snapshot_economic.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,snapshot_economic,snapshot_id,bigint,Reference to the parent snapshot,1,No,Source: data_collect.snapshot_economic.snapshot_id,"NOT NULL, Positive integer, FK validation to data_collect.snapshot",No
stoplight_analytics,snapshot_economic,economic_survey_id,bigint,Reference to the economic survey definition,1,No,Source: data_collect.snapshot_economic.economic_survey_id,"Positive integer, FK validation to data_collect.survey_economic",No
stoplight_analytics,snapshot_economic,economic_identifier,character varying,Economic identifier code or reference,ECO-12345,No,Source: data_collect.snapshot_economic.economic_identifier,"Format check (alphanumeric), Length check (max 100)",No
stoplight_analytics,snapshot_economic,value,jsonb,JSON structure containing the economic survey responses,"{""income"": ""3000"", ""employment"": ""Full-time"", ""housing_status"": ""Owner""}",No,Source: data_collect.snapshot_economic.value,"Valid JSON structure, Required keys check",Yes
stoplight_analytics,snapshot_economic,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.snapshot_economic.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,snapshot_economic,status,character varying,Status of the economic snapshot entry,"COMPLETE, PARTIAL",No,Source: data_collect.snapshot_economic.status,"Enumeration check (COMPLETE, PARTIAL, PENDING, CANCELLED)",No
stoplight_analytics,snapshot_economic,organization_id,bigint,Reference to the organization,1,No,Source: data_collect.snapshot_economic.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,snapshot_economic,application_id,bigint,Reference to the application (hub),1,No,Source: data_collect.snapshot_economic.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,snapshot_economic,display_name,character varying,Display name for the economic snapshot,Household Income Survey,No,Source: data_collect.snapshot_economic.display_name,"Length check (max 200)",No
stoplight_analytics,snapshot_economic,form_schema,jsonb,Schema definition for the form used to collect data,"{""version"": ""1.0"", ""fields"": [{""name"": ""income"", ""type"": ""number""}]}",No,Source: data_collect.snapshot_economic.form_schema,"Valid JSON structure, Schema validation",No
stoplight_analytics,snapshot_economic,is_template,boolean,Indicates if this is a template for other economic snapshots,False,No,Source: data_collect.snapshot_economic.is_template,"Boolean value check, Default: false",No
stoplight_analytics,snapshot_economic,created_by,character varying,User who created the record,admin,No,Source: data_collect.snapshot_economic.created_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_economic,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.snapshot_economic.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_economic,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.snapshot_economic.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,snapshot_economic,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.snapshot_economic.last_modified_date,"Valid timestamp, Not in future, >= created_date",No 
