Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,snapshot_economic_member,id,bigint,Primary key identifier for the member economic data,1,No,Source: data_collect.snapshot_economic_member.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,snapshot_economic_member,snapshot_id,bigint,Reference to the parent snapshot,1,No,Source: data_collect.snapshot_economic_member.snapshot_id,"NOT NULL, Positive integer, FK validation to data_collect.snapshot",No
stoplight_analytics,snapshot_economic_member,family_member_id,bigint,Reference to the family member,1,No,Source: data_collect.snapshot_economic_member.family_member_id,"Positive integer, FK validation to ps_families.family_members",No
stoplight_analytics,snapshot_economic_member,economic_identifier,character varying,Economic identifier code for the member,MEM-ECO-12345,No,Source: data_collect.snapshot_economic_member.economic_identifier,"Format check (alphanumeric), Length check (max 100)",No
stoplight_analytics,snapshot_economic_member,value,jsonb,JSON structure containing the economic data for this member,"{""occupation"": ""Teacher"", ""monthly_income"": ""3000"", ""work_hours_week"": ""40"", ""education_level"": ""University""}",No,Source: data_collect.snapshot_economic_member.value,"Valid JSON structure, Required keys check",Yes
stoplight_analytics,snapshot_economic_member,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.snapshot_economic_member.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,snapshot_economic_member,status,character varying,Status of the record,"COMPLETE, PARTIAL",No,Source: data_collect.snapshot_economic_member.status,"Enumeration check (COMPLETE, PARTIAL, PENDING, CANCELLED)",No
stoplight_analytics,snapshot_economic_member,organization_id,bigint,Reference to the organization,1,No,Source: data_collect.snapshot_economic_member.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,snapshot_economic_member,application_id,bigint,Reference to the application (hub),1,No,Source: data_collect.snapshot_economic_member.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,snapshot_economic_member,relationship,character varying,Relationship to the primary family member,"HEAD, SPOUSE, CHILD, PARENT, OTHER",No,Source: data_collect.snapshot_economic_member.relationship,"Enumeration check, Length check (max 50)",No
stoplight_analytics,snapshot_economic_member,economic_survey_id,bigint,Reference to the economic survey definition used,1,No,Source: data_collect.snapshot_economic_member.economic_survey_id,"Positive integer, FK validation to data_collect.survey_economic",No
stoplight_analytics,snapshot_economic_member,member_index,integer,Index of the member within the family,1,No,Source: data_collect.snapshot_economic_member.member_index,"Range check (0-30), NOT NULL",No
stoplight_analytics,snapshot_economic_member,is_head,boolean,Indicates if this member is the head of household,True,No,Source: data_collect.snapshot_economic_member.is_head,"Boolean value check, Only one TRUE per family",No
stoplight_analytics,snapshot_economic_member,created_by,character varying,User who created the record,admin,No,Source: data_collect.snapshot_economic_member.created_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_economic_member,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.snapshot_economic_member.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_economic_member,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.snapshot_economic_member.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,snapshot_economic_member,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.snapshot_economic_member.last_modified_date,"Valid timestamp, Not in future, >= created_date",No
stoplight_analytics,snapshot_economic_member,document_number,character varying,Identification document number for the member,12345678,No,Source: data_collect.snapshot_economic_member.document_number,"Format check based on document_type, Length check",Yes
stoplight_analytics,snapshot_economic_member,phone_number,character varying,Phone number of the member,+595971123456,No,Source: data_collect.snapshot_economic_member.phone_number,"Phone number format check, Length check (max 20)",Yes 
