Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,snapshot_stoplight,id,bigint,Primary key identifier for the stoplight snapshot entry,1,No,Source: data_collect.snapshot_stoplight.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,snapshot_stoplight,snapshot_id,bigint,Reference to the parent snapshot,1,No,Source: data_collect.snapshot_stoplight.snapshot_id,"NOT NULL, Positive integer, FK validation to data_collect.snapshot",No
stoplight_analytics,snapshot_stoplight,stoplight_indicator_id,bigint,Reference to the stoplight indicator,1,No,Source: data_collect.snapshot_stoplight.stoplight_indicator_id,"NOT NULL, Positive integer, FK validation to library.stoplight_indicator",No
stoplight_analytics,snapshot_stoplight,value,smallint,Stoplight value (1=Red, 2=Yellow, 3=Green),"1, 2, 3",No,Source: data_collect.snapshot_stoplight.value,"Range check (1-3), NOT NULL",No
stoplight_analytics,snapshot_stoplight,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.snapshot_stoplight.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,snapshot_stoplight,notes,text,Notes or comments about this indicator response,Family needs to improve their income sources,No,Source: data_collect.snapshot_stoplight.notes,"Length check (max 1000)",Yes
stoplight_analytics,snapshot_stoplight,skipped,boolean,Indicates if this indicator was skipped in the survey,False,No,Source: data_collect.snapshot_stoplight.skipped,"Boolean value check, Default: false",No
stoplight_analytics,snapshot_stoplight,organization_id,bigint,Reference to the organization,1,No,Source: data_collect.snapshot_stoplight.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,snapshot_stoplight,application_id,bigint,Reference to the application (hub),1,No,Source: data_collect.snapshot_stoplight.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,snapshot_stoplight,stoplight_survey_id,bigint,Reference to the stoplight survey definition,1,No,Source: data_collect.snapshot_stoplight.stoplight_survey_id,"Positive integer, FK validation to data_collect.survey_stoplight",No
stoplight_analytics,snapshot_stoplight,indicator_index,integer,Index or order of the indicator in the survey,5,No,Source: data_collect.snapshot_stoplight.indicator_index,"Positive integer, Range check (0-100)",No
stoplight_analytics,snapshot_stoplight,created_by,character varying,User who created the record,admin,No,Source: data_collect.snapshot_stoplight.created_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_stoplight,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.snapshot_stoplight.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_stoplight,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.snapshot_stoplight.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,snapshot_stoplight,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.snapshot_stoplight.last_modified_date,"Valid timestamp, Not in future, >= created_date",No
stoplight_analytics,snapshot_stoplight,reason,text,Reason for the stoplight value selected,The family has an unsteady income source that varies month to month,No,Source: data_collect.snapshot_stoplight.reason,"Length check (max 1000)",Yes
stoplight_analytics,snapshot_stoplight,media_url,character varying,URL to related media (photo/video) for this indicator,https://example.com/images/evidence.jpg,No,Source: data_collect.snapshot_stoplight.media_url,"URL format check, Length check (max 500)",No 
