Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,snapshot_stoplight_achievement,id,bigint,Primary key identifier for the achievement,1,No,Source: data_collect.snapshot_stoplight_achievement.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,snapshot_stoplight_achievement,snapshot_id,bigint,Reference to the parent snapshot,1,No,Source: data_collect.snapshot_stoplight_achievement.snapshot_id,"NOT NULL, Positive integer, FK validation to data_collect.snapshot",No
stoplight_analytics,snapshot_stoplight_achievement,stoplight_indicator_id,bigint,Reference to the stoplight indicator that was achieved,1,No,Source: data_collect.snapshot_stoplight_achievement.stoplight_indicator_id,"NOT NULL, Positive integer, FK validation to library.stoplight_indicator",No
stoplight_analytics,snapshot_stoplight_achievement,achievement_date,bigint,Unix timestamp when the achievement was recorded,1625097600,No,Source: data_collect.snapshot_stoplight_achievement.achievement_date,"Valid Unix timestamp, <= current date",No
stoplight_analytics,snapshot_stoplight_achievement,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.snapshot_stoplight_achievement.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,snapshot_stoplight_achievement,reason,text,Description of how the achievement was accomplished,The family enrolled in job training program and secured stable employment,No,Source: data_collect.snapshot_stoplight_achievement.reason,"Length check (max 1000)",Yes
stoplight_analytics,snapshot_stoplight_achievement,previous_value,smallint,Previous stoplight value before achievement (1=Red, 2=Yellow, 3=Green),"1, 2",No,Source: data_collect.snapshot_stoplight_achievement.previous_value,"Range check (1-3)",No
stoplight_analytics,snapshot_stoplight_achievement,current_value,smallint,Current stoplight value after achievement (1=Red, 2=Yellow, 3=Green),"2, 3",No,Source: data_collect.snapshot_stoplight_achievement.current_value,"Range check (1-3), > previous_value",No
stoplight_analytics,snapshot_stoplight_achievement,organization_id,bigint,Reference to the organization,1,No,Source: data_collect.snapshot_stoplight_achievement.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,snapshot_stoplight_achievement,application_id,bigint,Reference to the application (hub),1,No,Source: data_collect.snapshot_stoplight_achievement.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,snapshot_stoplight_achievement,achievement_level,smallint,Level of achievement (points or rating),5,No,Source: data_collect.snapshot_stoplight_achievement.achievement_level,"Range check (1-10)",No
stoplight_analytics,snapshot_stoplight_achievement,media_url,character varying,URL to related media (photo/video) for this achievement,https://example.com/images/achievement.jpg,No,Source: data_collect.snapshot_stoplight_achievement.media_url,"URL format check, Length check (max 500)",No
stoplight_analytics,snapshot_stoplight_achievement,created_by,character varying,User who created the record,admin,No,Source: data_collect.snapshot_stoplight_achievement.created_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_stoplight_achievement,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.snapshot_stoplight_achievement.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,snapshot_stoplight_achievement,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.snapshot_stoplight_achievement.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,snapshot_stoplight_achievement,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.snapshot_stoplight_achievement.last_modified_date,"Valid timestamp, Not in future, >= created_date",No 
