Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,survey_definition,id,bigint,Primary key identifier for the survey definition,1,No,Source: data_collect.survey_definition.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,survey_definition,title,character varying,Title of the survey,Poverty Stoplight Survey 2023,No,Source: data_collect.survey_definition.title,"NOT NULL, Length check (max 200)",No
stoplight_analytics,survey_definition,description,text,Detailed description of the survey purpose and content,This survey is designed to collect data about family socioeconomic status using the Poverty Stoplight methodology,No,Source: data_collect.survey_definition.description,"Length check (max 2000)",No
stoplight_analytics,survey_definition,active,boolean,Indicates if the survey definition is currently active,True,No,Source: data_collect.survey_definition.active,"Boolean value check, Default: true",No
stoplight_analytics,survey_definition,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.survey_definition.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,survey_definition,updated_at,bigint,Unix timestamp of last update,1625097600,No,Source: data_collect.survey_definition.updated_at,"Valid Unix timestamp, >= created_at",No
stoplight_analytics,survey_definition,terms_conditions_id,bigint,Reference to the terms and conditions for this survey,1,No,Source: data_collect.survey_definition.terms_conditions_id,"Positive integer, FK validation to security.termcondpol",No
stoplight_analytics,survey_definition,privacy_policy_id,bigint,Reference to the privacy policy for this survey,1,No,Source: data_collect.survey_definition.privacy_policy_id,"Positive integer, FK validation to security.termcondpol",No
stoplight_analytics,survey_definition,minimum_priorities,smallint,Minimum number of priorities that must be selected,3,No,Source: data_collect.survey_definition.minimum_priorities,"Range check (0-10), NOT NULL if stoplight_type is not NULL",No
stoplight_analytics,survey_definition,country_code,character varying,Country code for which this survey is applicable,PY,No,Source: data_collect.survey_definition.country_code,"ISO country code format, Length check (2)",No
stoplight_analytics,survey_definition,latitude,double precision,Default latitude for the survey location,-25.2819,No,Source: data_collect.survey_definition.latitude,"Latitude range check (-90 to 90)",No
stoplight_analytics,survey_definition,longitude,double precision,Default longitude for the survey location,-57.6351,No,Source: data_collect.survey_definition.longitude,"Longitude range check (-180 to 180)",No
stoplight_analytics,survey_definition,labels,jsonb,JSON array of labels or tags for the survey,["STANDARD", "FAMILIES", "2023"],No,Source: data_collect.survey_definition.labels,"Valid JSON array",No
stoplight_analytics,survey_definition,lang,character varying,Language code for the survey,en,No,Source: data_collect.survey_definition.lang,"ISO language code format, Length check (2-5)",No
stoplight_analytics,survey_definition,survey_code,character varying,Unique code identifier for the survey,PS-2023-PY,No,Source: data_collect.survey_definition.survey_code,"Format check (alphanumeric), Unique constraint",No
stoplight_analytics,survey_definition,stoplight_type,character varying,Type of stoplight methodology used,"STANDARD, CUSTOM",No,Source: data_collect.survey_definition.stoplight_type,"Enumeration check (STANDARD, CUSTOM, BUSINESS, etc.)",No
stoplight_analytics,survey_definition,status,character varying,Current status of the survey definition,"ACTIVE, DRAFT, ARCHIVED",No,Source: data_collect.survey_definition.status,"Enumeration check (ACTIVE, DRAFT, ARCHIVED, DEPRECATED)",No
stoplight_analytics,survey_definition,current,boolean,Indicates if this is the current active version of the survey,True,No,Source: data_collect.survey_definition.current,"Boolean value check, Only one TRUE per survey_code",No
stoplight_analytics,survey_definition,disclaimer_required,boolean,Indicates if a disclaimer must be shown before taking the survey,True,No,Source: data_collect.survey_definition.disclaimer_required,"Boolean value check, Default: false",No
stoplight_analytics,survey_definition,disclaimer_text,text,Text content of the disclaimer,This survey collects personal information that will be used for...,No,Source: data_collect.survey_definition.disclaimer_text,"Required if disclaimer_required is TRUE, Length check (max 2000)",No
stoplight_analytics,survey_definition,disclaimer_title,character varying,Title of the disclaimer,Important Privacy Notice,No,Source: data_collect.survey_definition.disclaimer_title,"Required if disclaimer_required is TRUE, Length check (max 100)",No
stoplight_analytics,survey_definition,disclaimer_subtitle,character varying,Subtitle of the disclaimer,Please read before proceeding,No,Source: data_collect.survey_definition.disclaimer_subtitle,"Length check (max 200)",No
stoplight_analytics,survey_definition,organization_id,bigint,Reference to the organization that owns this survey definition,1,No,Source: data_collect.survey_definition.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,survey_definition,application_id,bigint,Reference to the application (hub) this survey belongs to,1,No,Source: data_collect.survey_definition.application_id,"Positive integer, FK validation to ps_network.applications",No 
