Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,survey_economic,id,bigint,Primary key identifier for the economic survey definition,1,No,Source: data_collect.survey_economic.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,survey_economic,survey_id,bigint,Reference to the parent survey definition,1,No,Source: data_collect.survey_economic.survey_id,"NOT NULL, Positive integer, FK validation to data_collect.survey_definition",No
stoplight_analytics,survey_economic,title,character varying,Title of the economic survey section,Family Economic Information,No,Source: data_collect.survey_economic.title,"NOT NULL, Length check (max 200)",No
stoplight_analytics,survey_economic,description,text,Detailed description of the economic survey section,This section collects data about family income, expenses, and financial status,No,Source: data_collect.survey_economic.description,"Length check (max 2000)",No
stoplight_analytics,survey_economic,active,boolean,Indicates if this economic survey section is currently active,True,No,Source: data_collect.survey_economic.active,"Boolean value check, Default: true",No
stoplight_analytics,survey_economic,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.survey_economic.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,survey_economic,updated_at,bigint,Unix timestamp of last update,1625097600,No,Source: data_collect.survey_economic.updated_at,"Valid Unix timestamp, >= created_at",No
stoplight_analytics,survey_economic,schema,jsonb,JSON schema defining the structure of the economic survey,"{""version"": ""1.0"", ""sections"": [{""title"": ""Income"", ""questions"": [{""id"": ""income_source"", ""type"": ""select""}]}]}",No,Source: data_collect.survey_economic.schema,"Valid JSON structure, Schema validation",No
stoplight_analytics,survey_economic,ui_schema,jsonb,JSON schema for UI rendering of the economic survey,"{""income_source"": {""ui:widget"": ""select"", ""ui:placeholder"": ""Select income source""}}",No,Source: data_collect.survey_economic.ui_schema,"Valid JSON structure, Schema validation",No
stoplight_analytics,survey_economic,version,character varying,Version identifier for the economic survey,1.0,No,Source: data_collect.survey_economic.version,"Semantic version format check, Unique per survey_id",No
stoplight_analytics,survey_economic,is_template,boolean,Indicates if this is a template economic survey that can be reused,False,No,Source: data_collect.survey_economic.is_template,"Boolean value check, Default: false",No
stoplight_analytics,survey_economic,organization_id,bigint,Reference to the organization that owns this economic survey,1,No,Source: data_collect.survey_economic.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,survey_economic,application_id,bigint,Reference to the application (hub) this economic survey belongs to,1,No,Source: data_collect.survey_economic.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,survey_economic,created_by,character varying,User who created the record,admin,No,Source: data_collect.survey_economic.created_by,"Length check (max 255)",Yes
stoplight_analytics,survey_economic,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.survey_economic.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,survey_economic,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.survey_economic.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,survey_economic,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.survey_economic.last_modified_date,"Valid timestamp, Not in future, >= created_date",No 
