Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,survey_economic_option,id,bigint,Primary key identifier for the economic survey option,1,No,Source: data_collect.survey_economic_option.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,survey_economic_option,survey_economic_id,bigint,Reference to the economic survey this option belongs to,1,No,Source: data_collect.survey_economic_option.survey_economic_id,"NOT NULL, Positive integer, FK validation to data_collect.survey_economic",No
stoplight_analytics,survey_economic_option,field_name,character varying,Name of the field this option applies to,income_source,No,Source: data_collect.survey_economic_option.field_name,"NOT NULL, Alphanumeric with underscores, Length check (max 100)",No
stoplight_analytics,survey_economic_option,option_value,character varying,Value stored when this option is selected,EMPLOYMENT,No,Source: data_collect.survey_economic_option.option_value,"NOT NULL, Format check, Length check (max 100)",No
stoplight_analytics,survey_economic_option,option_text,character varying,Display text for this option,Formal Employment,No,Source: data_collect.survey_economic_option.option_text,"NOT NULL, Length check (max 200)",No
stoplight_analytics,survey_economic_option,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.survey_economic_option.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,survey_economic_option,updated_at,bigint,Unix timestamp of last update,1625097600,No,Source: data_collect.survey_economic_option.updated_at,"Valid Unix timestamp, >= created_at",No
stoplight_analytics,survey_economic_option,option_order,smallint,Display order for this option in the list,1,No,Source: data_collect.survey_economic_option.option_order,"Positive integer, Range check (0-1000)",No
stoplight_analytics,survey_economic_option,is_default,boolean,Indicates if this is the default selected option,False,No,Source: data_collect.survey_economic_option.is_default,"Boolean value check, Only one TRUE per field_name",No
stoplight_analytics,survey_economic_option,organization_id,bigint,Reference to the organization,1,No,Source: data_collect.survey_economic_option.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,survey_economic_option,application_id,bigint,Reference to the application (hub),1,No,Source: data_collect.survey_economic_option.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,survey_economic_option,created_by,character varying,User who created the record,admin,No,Source: data_collect.survey_economic_option.created_by,"Length check (max 255)",Yes
stoplight_analytics,survey_economic_option,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.survey_economic_option.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,survey_economic_option,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.survey_economic_option.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,survey_economic_option,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.survey_economic_option.last_modified_date,"Valid timestamp, Not in future, >= created_date",No 
