Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,survey_stoplight,id,bigint,Primary key identifier for the stoplight survey definition,1,No,Source: data_collect.survey_stoplight.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,survey_stoplight,survey_id,bigint,Reference to the parent survey definition,1,No,Source: data_collect.survey_stoplight.survey_id,"NOT NULL, Positive integer, FK validation to data_collect.survey_definition",No
stoplight_analytics,survey_stoplight,title,character varying,Title of the stoplight survey section,Poverty Stoplight Indicators,No,Source: data_collect.survey_stoplight.title,"NOT NULL, Length check (max 200)",No
stoplight_analytics,survey_stoplight,description,text,Detailed description of the stoplight survey section,This section evaluates the family's living conditions across multiple indicators using Red-Yellow-Green ratings,No,Source: data_collect.survey_stoplight.description,"Length check (max 2000)",No
stoplight_analytics,survey_stoplight,active,boolean,Indicates if this stoplight survey section is currently active,True,No,Source: data_collect.survey_stoplight.active,"Boolean value check, Default: true",No
stoplight_analytics,survey_stoplight,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.survey_stoplight.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,survey_stoplight,updated_at,bigint,Unix timestamp of last update,1625097600,No,Source: data_collect.survey_stoplight.updated_at,"Valid Unix timestamp, >= created_at",No
stoplight_analytics,survey_stoplight,schema,jsonb,JSON schema defining the structure of the stoplight survey,"{""version"": ""1.0"", ""dimensions"": [{""name"": ""Income & Employment"", ""indicators"": [""income"", ""employment""]}]}",No,Source: data_collect.survey_stoplight.schema,"Valid JSON structure, Schema validation",No
stoplight_analytics,survey_stoplight,ui_schema,jsonb,JSON schema for UI rendering of the stoplight survey,"{""ui:order"": [""income"", ""employment""], ""ui:page_size"": 5}",No,Source: data_collect.survey_stoplight.ui_schema,"Valid JSON structure, Schema validation",No
stoplight_analytics,survey_stoplight,version,character varying,Version identifier for the stoplight survey,1.0,No,Source: data_collect.survey_stoplight.version,"Semantic version format check, Unique per survey_id",No
stoplight_analytics,survey_stoplight,is_template,boolean,Indicates if this is a template stoplight survey that can be reused,False,No,Source: data_collect.survey_stoplight.is_template,"Boolean value check, Default: false",No
stoplight_analytics,survey_stoplight,organization_id,bigint,Reference to the organization that owns this stoplight survey,1,No,Source: data_collect.survey_stoplight.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,survey_stoplight,application_id,bigint,Reference to the application (hub) this stoplight survey belongs to,1,No,Source: data_collect.survey_stoplight.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,survey_stoplight,indicators_count,smallint,Number of indicators included in this stoplight survey,42,No,Source: data_collect.survey_stoplight.indicators_count,"Range check (1-100), Positive integer",No
stoplight_analytics,survey_stoplight,dimensions_count,smallint,Number of dimensions grouping the indicators,6,No,Source: data_collect.survey_stoplight.dimensions_count,"Range check (1-20), Positive integer",No
stoplight_analytics,survey_stoplight,created_by,character varying,User who created the record,admin,No,Source: data_collect.survey_stoplight.created_by,"Length check (max 255)",Yes
stoplight_analytics,survey_stoplight,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.survey_stoplight.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,survey_stoplight,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.survey_stoplight.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,survey_stoplight,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.survey_stoplight.last_modified_date,"Valid timestamp, Not in future, >= created_date",No 
