Schema Name,Table Name,Field Name,Data Type,Description,Sample Values,Required?,Notes,Data Quality Checks,PII
stoplight_analytics,survey_stoplight_color,id,bigint,Primary key identifier for the stoplight color definition in a survey,1,No,Source: data_collect.survey_stoplight_color.id,"NOT NULL, Positive integer, Unique",No
stoplight_analytics,survey_stoplight_color,survey_stoplight_id,bigint,Reference to the stoplight survey,1,No,Source: data_collect.survey_stoplight_color.survey_stoplight_id,"NOT NULL, Positive integer, FK validation to data_collect.survey_stoplight",No
stoplight_analytics,survey_stoplight_color,stoplight_indicator_id,bigint,Reference to the stoplight indicator,1,No,Source: data_collect.survey_stoplight_color.stoplight_indicator_id,"NOT NULL, Positive integer, FK validation to library.stoplight_indicator",No
stoplight_analytics,survey_stoplight_color,color,smallint,Color code (1=Red, 2=Yellow, 3=Green),"1, 2, 3",No,Source: data_collect.survey_stoplight_color.color,"Range check (1-3), NOT NULL",No
stoplight_analytics,survey_stoplight_color,description,text,Description of what this color means for this indicator in this survey,Red: Family has no source of income or unstable very low income,No,Source: data_collect.survey_stoplight_color.description,"NOT NULL, Length check (max 1000)",No
stoplight_analytics,survey_stoplight_color,created_at,bigint,Unix timestamp of creation,1625097600,No,Source: data_collect.survey_stoplight_color.created_at,"Valid Unix timestamp, Not in future",No
stoplight_analytics,survey_stoplight_color,updated_at,bigint,Unix timestamp of last update,1625097600,No,Source: data_collect.survey_stoplight_color.updated_at,"Valid Unix timestamp, >= created_at",No
stoplight_analytics,survey_stoplight_color,organization_id,bigint,Reference to the organization,1,No,Source: data_collect.survey_stoplight_color.organization_id,"Positive integer, FK validation to ps_network.organizations",No
stoplight_analytics,survey_stoplight_color,application_id,bigint,Reference to the application (hub),1,No,Source: data_collect.survey_stoplight_color.application_id,"Positive integer, FK validation to ps_network.applications",No
stoplight_analytics,survey_stoplight_color,title,character varying,Short title for this color definition,No Income,No,Source: data_collect.survey_stoplight_color.title,"Length check (max 100)",No
stoplight_analytics,survey_stoplight_color,image_url,character varying,URL to an image illustrating this indicator state,https://example.com/images/red_income.jpg,No,Source: data_collect.survey_stoplight_color.image_url,"URL format check, Length check (max 500)",No
stoplight_analytics,survey_stoplight_color,indicator_code,character varying,Code name of the indicator,income,No,Source: data_collect.survey_stoplight_color.indicator_code,"Alphanumeric with underscores, Length check (max 100)",No
stoplight_analytics,survey_stoplight_color,is_default,boolean,Indicates if this is the default color definition for this indicator,True,No,Source: data_collect.survey_stoplight_color.is_default,"Boolean value check, Default: false",No
stoplight_analytics,survey_stoplight_color,created_by,character varying,User who created the record,admin,No,Source: data_collect.survey_stoplight_color.created_by,"Length check (max 255)",Yes
stoplight_analytics,survey_stoplight_color,last_modified_by,character varying,User who last modified the record,admin,No,Source: data_collect.survey_stoplight_color.last_modified_by,"Length check (max 255)",Yes
stoplight_analytics,survey_stoplight_color,created_date,timestamp without time zone,Timestamp when the record was created,2023-03-15 12:30:00,No,Source: data_collect.survey_stoplight_color.created_date,"Valid timestamp, Not in future",No
stoplight_analytics,survey_stoplight_color,last_modified_date,timestamp without time zone,Timestamp of the last modification,2023-03-15 12:30:00,No,Source: data_collect.survey_stoplight_color.last_modified_date,"Valid timestamp, Not in future, >= created_date",No 
